global_step_id,file,axis,step_id_in_file,step_deg,abs_step_deg,direction,t_s,err_px_raw,offset_px,y_zero_px,y_gain_px_per_deg,y_aligned_px,err_norm_raw,y_zero_norm,sample_idx
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.822117,9.0422,-80.303444,89.345644,17.869129,89.345644,0.028257,0.279205,25
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.854223,9.04,-80.303444,89.343444,17.868689,89.343444,0.02825,0.279198,26
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.88522,8.9729,-80.303444,89.276344,17.855269,89.276344,0.02804,0.278988,27
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.917232,8.9605,-80.303444,89.263944,17.852789,89.263944,0.028002,0.27895,28
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.950232,9.0159,-80.303444,89.319344,17.863869,89.319344,0.028175,0.279123,29
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.981145,9.0426,-80.303444,89.346044,17.869209,89.346044,0.028258,0.279206,30
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,1.013157,8.9805,-80.303444,89.283944,17.856789,89.283944,0.028064,0.279012,31
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,1.046073,9.0328,-80.303444,89.336244,17.867249,89.336244,0.028227,0.279175,32
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,1.078788,9.0379,-80.303444,89.341344,17.868269,89.341344,0.028243,0.279191,33
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,1.124928,9.0277,-80.303444,89.331144,17.866229,89.331144,0.028212,0.27916,34
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,1.157895,9.0134,-80.303444,89.316844,17.863369,89.316844,0.028167,0.279115,35
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,1.188952,9.0103,-80.303444,89.313744,17.862749,89.313744,0.028157,0.279105,36
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.0,9.043,9.0411,0.0019,-0.00038,-0.0019,0.028259,6e-06,0
