run_id,step_id,axis,step_deg,target_angle_deg,t_sec,err_px,err_norm,phase
1782157157,2,PAN,-5.000,85.000,0.000325,-11.5303,-0.036032,step
1782157157,2,PAN,-5.000,85.000,0.031985,-11.5687,-0.036152,step
1782157157,2,PAN,-5.000,85.000,0.063990,-13.4867,-0.042146,step
1782157157,2,PAN,-5.000,85.000,0.095504,-70.5045,-0.220327,step
1782157157,2,PAN,-5.000,85.000,0.128499,-90.4764,-0.282739,step
1782157157,2,PAN,-5.000,85.000,0.160504,-93.6753,-0.292735,step
1782157157,2,PAN,-5.000,85.000,0.193044,-94.7741,-0.296169,step
1782157157,2,PAN,-5.000,85.000,0.239989,-94.8524,-0.296414,step
1782157157,2,PAN,-5.000,85.000,0.272077,-94.6868,-0.295896,step
1782157157,2,PAN,-5.000,85.000,0.304498,-94.6659,-0.295831,step
1782157157,2,PAN,-5.000,85.000,0.335983,-94.7594,-0.296123,step
1782157157,2,PAN,-5.000,85.000,0.367989,-94.8272,-0.296335,step
1782157157,2,PAN,-5.000,85.000,0.399498,-94.8126,-0.296289,step
1782157157,2,PAN,-5.000,85.000,0.431494,-94.7595,-0.296123,step
1782157157,2,PAN,-5.000,85.000,0.463512,-94.7231,-0.296010,step
1782157157,2,PAN,-5.000,85.000,0.496010,-94.7607,-0.296127,step
1782157157,2,PAN,-5.000,85.000,0.528012,-94.8647,-0.296452,step
1782157157,2,PAN,-5.000,85.000,0.560014,-94.7889,-0.296215,step
1782157157,2,PAN,-5.000,85.000,0.592531,-94.7593,-0.296123,step
1782157157,2,PAN,-5.000,85.000,0.639539,-94.6411,-0.295753,step
1782157157,2,PAN,-5.000,85.000,0.671650,-94.6967,-0.295927,step
1782157157,2,PAN,-5.000,85.000,0.703689,-94.7838,-0.296199,step
1782157157,2,PAN,-5.000,85.000,0.735946,-94.8053,-0.296266,step
1782157157,2,PAN,-5.000,85.000,0.768045,-94.7770,-0.296178,step
1782157157,2,PAN,-5.000,85.000,0.799994,-94.7324,-0.296039,step
1782157157,2,PAN,-5.000,85.000,0.831939,-94.7500,-0.296094,step
1782157157,2,PAN,-5.000,85.000,0.863096,-94.7988,-0.296246,step
1782157157,2,PAN,-5.000,85.000,0.895006,-94.8006,-0.296252,step
1782157157,2,PAN,-5.000,85.000,0.928431,-94.7815,-0.296192,step
1782157157,2,PAN,-5.000,85.000,0.959432,-94.7476,-0.296086,step
1782157157,2,PAN,-5.000,85.000,0.991041,-94.7730,-0.296165,step
1782157157,2,PAN,-5.000,85.000,1.039989,-94.8129,-0.296290,step
1782157157,2,PAN,-5.000,85.000,1.072005,-94.8208,-0.296315,step
1782157157,2,PAN,-5.000,85.000,1.104588,-94.7850,-0.296203,step
1782157157,2,PAN,-5.000,85.000,1.135650,-94.7637,-0.296136,step
1782157157,2,PAN,-5.000,85.000,1.167674,-94.7897,-0.296218,step
1782157157,3,PAN,5.000,85.000,-0.299999,-94.8084,-0.296276,pre
1782157157,3,PAN,5.000,85.000,-0.252005,-94.7843,-0.296201,pre
1782157157,3,PAN,5.000,85.000,-0.221121,-94.7456,-0.296080,pre
1782157157,3,PAN,5.000,85.000,-0.189522,-94.7632,-0.296135,pre
1782157157,3,PAN,5.000,85.000,-0.156516,-94.7718,-0.296162,pre
1782157157,3,PAN,5.000,85.000,-0.123514,-94.7802,-0.296188,pre
1782157157,3,PAN,5.000,85.000,-0.092989,-94.7539,-0.296106,pre
1782157157,3,PAN,5.000,85.000,-0.060542,-94.7652,-0.296141,pre
1782157157,3,PAN,5.000,85.000,-0.029007,-94.7742,-0.296169,pre
1782157157,3,PAN,5.000,90.000,0.000330,-94.7769,-0.296178,step
1782157157,3,PAN,5.000,90.000,0.030988,-94.7927,-0.296227,step
1782157157,3,PAN,5.000,90.000,0.062991,-94.7485,-0.296089,step
1782157157,3,PAN,5.000,90.000,0.096505,-79.0961,-0.247175,step
1782157157,3,PAN,5.000,90.000,0.143505,-16.8845,-0.052764,step
1782157157,3,PAN,5.000,90.000,0.176083,-14.3449,-0.044828,step
1782157157,3,PAN,5.000,90.000,0.207788,-14.2052,-0.044391,step
1782157157,3,PAN,5.000,90.000,0.239725,-14.1825,-0.044320,step
1782157157,3,PAN,5.000,90.000,0.271779,-14.2202,-0.044438,step
1782157157,3,PAN,5.000,90.000,0.303290,-14.2371,-0.044491,step
1782157157,3,PAN,5.000,90.000,0.335190,-14.2507,-0.044534,step
1782157157,3,PAN,5.000,90.000,0.367294,-14.2682,-0.044588,step
1782157157,3,PAN,5.000,90.000,0.399811,-14.2600,-0.044562,step
1782157157,3,PAN,5.000,90.000,0.431806,-14.1678,-0.044274,step
1782157157,3,PAN,5.000,90.000,0.463702,-14.2317,-0.044474,step
1782157157,3,PAN,5.000,90.000,0.496774,-14.2471,-0.044522,step
1782157157,3,PAN,5.000,90.000,0.542607,-14.2530,-0.044541,step
1782157157,3,PAN,5.000,90.000,0.575686,-14.2043,-0.044388,step
1782157157,3,PAN,5.000,90.000,0.607237,-14.1758,-0.044299,step
1782157157,3,PAN,5.000,90.000,0.639238,-14.1745,-0.044295,step
1782157157,3,PAN,5.000,90.000,0.672241,-14.1781,-0.044307,step
1782157157,3,PAN,5.000,90.000,0.703171,-14.2211,-0.044441,step
1782157157,3,PAN,5.000,90.000,0.735100,-14.1897,-0.044343,step
1782157157,3,PAN,5.000,90.000,0.767110,-14.2130,-0.044416,step
1782157157,3,PAN,5.000,90.000,0.799661,-14.2030,-0.044384,step
1782157157,3,PAN,5.000,90.000,0.830627,-14.1898,-0.044343,step
1782157157,3,PAN,5.000,90.000,0.863871,-14.1740,-0.044294,step
1782157157,3,PAN,5.000,90.000,0.895397,-14.1619,-0.044256,step
1782157157,3,PAN,5.000,90.000,0.943398,-14.1608,-0.044252,step
1782157157,3,PAN,5.000,90.000,0.975926,-14.1926,-0.044352,step
1782157157,3,PAN,5.000,90.000,1.007348,-14.1692,-0.044279,step
1782157157,3,PAN,5.000,90.000,1.039455,-14.1916,-0.044349,step
1782157157,3,PAN,5.000,90.000,1.071453,-14.1324,-0.044164,step
1782157157,3,PAN,5.000,90.000,1.103964,-14.1480,-0.044213,step
1782157157,3,PAN,5.000,90.000,1.135974,-14.1704,-0.044283,step
1782157157,3,PAN,5.000,90.000,1.167966,-14.2131,-0.044416,step
1782157157,3,PAN,5.000,90.000,1.199493,-14.1619,-0.044256,step
1782157157,4,PAN,-5.000,90.000,-0.299999,-14.1778,-0.044306,pre
1782157157,4,PAN,-5.000,90.000,-0.267045,-14.1842,-0.044326,pre
1782157157,4,PAN,-5.000,90.000,-0.234532,-14.2127,-0.044415,pre
1782157157,4,PAN,-5.000,90.000,-0.203535,-14.1694,-0.044279,pre
1782157157,4,PAN,-5.000,90.000,-0.170536,-14.2013,-0.044379,pre
1782157157,4,PAN,-5.000,90.000,-0.139016,-14.1663,-0.044270,pre
1782157157,4,PAN,-5.000,90.000,-0.107010,-14.1960,-0.044363,pre
1782157157,4,PAN,-5.000,90.000,-0.075118,-14.1755,-0.044298,pre
1782157157,4,PAN,-5.000,90.000,-0.042466,-14.1843,-0.044326,pre
1782157157,4,PAN,-5.000,85.000,0.000245,-14.2127,-0.044415,step
1782157157,4,PAN,-5.000,85.000,0.032598,-14.1661,-0.044269,step
1782157157,4,PAN,-5.000,85.000,0.064149,-14.2245,-0.044451,step
1782157157,4,PAN,-5.000,85.000,0.096173,-48.4853,-0.151516,step
1782157157,4,PAN,-5.000,85.000,0.128159,-94.8352,-0.296360,step
1782157157,4,PAN,-5.000,85.000,0.161684,-95.4558,-0.298299,step
1782157157,4,PAN,-5.000,85.000,0.192681,-96.8260,-0.302581,step
1782157157,4,PAN,-5.000,85.000,0.224713,-96.8482,-0.302651,step
1782157157,4,PAN,-5.000,85.000,0.256191,-96.8212,-0.302566,step
1782157157,4,PAN,-5.000,85.000,0.288102,-96.8463,-0.302645,step
1782157157,4,PAN,-5.000,85.000,0.320192,-96.8099,-0.302531,step
1782157157,4,PAN,-5.000,85.000,0.351710,-96.8386,-0.302621,step
1782157157,4,PAN,-5.000,85.000,0.400605,-96.8745,-0.302733,step
1782157157,4,PAN,-5.000,85.000,0.431666,-96.8335,-0.302605,step
1782157157,4,PAN,-5.000,85.000,0.464225,-96.8626,-0.302696,step
1782157157,4,PAN,-5.000,85.000,0.496238,-96.8518,-0.302662,step
1782157157,4,PAN,-5.000,85.000,0.527830,-96.8591,-0.302685,step
1782157157,4,PAN,-5.000,85.000,0.560386,-96.8590,-0.302684,step
1782157157,4,PAN,-5.000,85.000,0.592487,-96.8697,-0.302718,step
1782157157,4,PAN,-5.000,85.000,0.623492,-96.8534,-0.302667,step
1782157157,4,PAN,-5.000,85.000,0.655993,-96.8767,-0.302740,step
1782157157,4,PAN,-5.000,85.000,0.687977,-96.8556,-0.302674,step
1782157157,4,PAN,-5.000,85.000,0.719998,-96.8531,-0.302666,step
1782157157,4,PAN,-5.000,85.000,0.752474,-96.8458,-0.302643,step
1782157157,4,PAN,-5.000,85.000,0.800516,-96.8358,-0.302612,step
1782157157,4,PAN,-5.000,85.000,0.832564,-96.8587,-0.302684,step
1782157157,4,PAN,-5.000,85.000,0.864034,-96.8465,-0.302645,step
1782157157,4,PAN,-5.000,85.000,0.896030,-96.8803,-0.302751,step
1782157157,4,PAN,-5.000,85.000,0.928033,-96.8488,-0.302652,step
1782157157,4,PAN,-5.000,85.000,0.958940,-96.8726,-0.302727,step
1782157157,4,PAN,-5.000,85.000,0.992562,-96.8619,-0.302693,step
1782157157,4,PAN,-5.000,85.000,1.023291,-96.8738,-0.302731,step
1782157157,4,PAN,-5.000,85.000,1.056418,-96.8813,-0.302754,step
1782157157,4,PAN,-5.000,85.000,1.088415,-96.8559,-0.302675,step
1782157157,4,PAN,-5.000,85.000,1.120419,-96.8723,-0.302726,step
1782157157,4,PAN,-5.000,85.000,1.151937,-96.8530,-0.302666,step
1782157157,4,PAN,-5.000,85.000,1.199934,-96.8524,-0.302664,step
1782157157,5,PAN,5.000,85.000,-0.299999,-96.8711,-0.302722,pre
1782157157,5,PAN,5.000,85.000,-0.268549,-96.8561,-0.302675,pre
1782157157,5,PAN,5.000,85.000,-0.237135,-96.8628,-0.302696,pre
1782157157,5,PAN,5.000,85.000,-0.204549,-96.8737,-0.302730,pre
1782157157,5,PAN,5.000,85.000,-0.172025,-96.8930,-0.302791,pre
1782157157,5,PAN,5.000,85.000,-0.124613,-96.8772,-0.302741,pre
1782157157,5,PAN,5.000,85.000,-0.092603,-96.8693,-0.302717,pre
1782157157,5,PAN,5.000,85.000,-0.060084,-96.8643,-0.302701,pre
1782157157,5,PAN,5.000,85.000,-0.028060,-96.8713,-0.302723,pre
1782157157,5,PAN,5.000,90.000,0.000325,-96.8741,-0.302732,step
1782157157,5,PAN,5.000,90.000,0.032456,-96.8979,-0.302806,step
1782157157,5,PAN,5.000,90.000,0.064504,-96.7371,-0.302303,step
1782157157,5,PAN,5.000,90.000,0.097325,-54.1249,-0.169140,step
1782157157,5,PAN,5.000,90.000,0.128904,-9.6041,-0.030013,step
1782157157,5,PAN,5.000,90.000,0.159843,-9.6652,-0.030204,step
1782157157,5,PAN,5.000,90.000,0.192529,-9.7657,-0.030518,step
1782157157,5,PAN,5.000,90.000,0.225049,-9.6756,-0.030236,step
1782157157,5,PAN,5.000,90.000,0.274054,-9.6784,-0.030245,step
1782157157,5,PAN,5.000,90.000,0.305017,-9.7384,-0.030433,step
1782157157,5,PAN,5.000,90.000,0.336576,-9.7373,-0.030429,step
1782157157,5,PAN,5.000,90.000,0.368600,-9.7130,-0.030353,step
1782157157,5,PAN,5.000,90.000,0.401220,-9.7501,-0.030469,step
1782157157,5,PAN,5.000,90.000,0.432504,-9.7613,-0.030504,step
1782157157,5,PAN,5.000,90.000,0.465501,-9.7219,-0.030381,step
1782157157,5,PAN,5.000,90.000,0.495957,-9.7510,-0.030472,step
1782157157,5,PAN,5.000,90.000,0.529022,-9.7679,-0.030525,step
1782157157,5,PAN,5.000,90.000,0.561019,-9.7248,-0.030390,step
1782157157,5,PAN,5.000,90.000,0.593026,-9.7360,-0.030425,step
1782157157,5,PAN,5.000,90.000,0.623399,-9.7224,-0.030383,step
1782157157,5,PAN,5.000,90.000,0.672499,-9.7292,-0.030404,step
1782157157,5,PAN,5.000,90.000,0.705551,-9.7354,-0.030423,step
1782157157,5,PAN,5.000,90.000,0.737007,-9.7230,-0.030384,step
1782157157,5,PAN,5.000,90.000,0.769612,-9.7305,-0.030408,step
1782157157,5,PAN,5.000,90.000,0.800576,-9.7329,-0.030415,step
1782157157,5,PAN,5.000,90.000,0.833046,-9.7476,-0.030461,step
1782157157,5,PAN,5.000,90.000,0.864963,-9.7356,-0.030424,step
1782157157,5,PAN,5.000,90.000,0.896428,-9.7276,-0.030399,step
1782157157,5,PAN,5.000,90.000,0.928085,-9.7362,-0.030426,step
1782157157,5,PAN,5.000,90.000,0.960039,-9.7429,-0.030446,step
1782157157,5,PAN,5.000,90.000,0.992045,-9.7364,-0.030426,step
1782157157,5,PAN,5.000,90.000,1.025993,-9.7262,-0.030394,step
1782157157,5,PAN,5.000,90.000,1.073038,-9.7365,-0.030427,step
1782157157,5,PAN,5.000,90.000,1.105089,-9.7246,-0.030389,step
1782157157,5,PAN,5.000,90.000,1.137172,-9.7209,-0.030378,step
1782157157,5,PAN,5.000,90.000,1.168037,-9.7137,-0.030355,step
1782157157,6,PAN,-5.000,90.000,-0.299999,-9.6857,-0.030268,pre
1782157157,6,PAN,-5.000,90.000,-0.267575,-9.6807,-0.030252,pre
1782157157,6,PAN,-5.000,90.000,-0.220665,-9.6954,-0.030298,pre
1782157157,6,PAN,-5.000,90.000,-0.188253,-9.7047,-0.030327,pre
1782157157,6,PAN,-5.000,90.000,-0.157065,-9.6881,-0.030275,pre
1782157157,6,PAN,-5.000,90.000,-0.125082,-9.7076,-0.030336,pre
1782157157,6,PAN,-5.000,90.000,-0.091982,-9.7120,-0.030350,pre
1782157157,6,PAN,-5.000,90.000,-0.059423,-9.7016,-0.030317,pre
1782157157,6,PAN,-5.000,90.000,-0.028427,-9.6894,-0.030279,pre
1782157157,6,PAN,-5.000,85.000,0.000242,-9.7123,-0.030351,step
1782157157,6,PAN,-5.000,85.000,0.031921,-9.7113,-0.030348,step
1782157157,6,PAN,-5.000,85.000,0.063787,-14.5940,-0.045606,step
1782157157,6,PAN,-5.000,85.000,0.095788,-78.7382,-0.246057,step
1782157157,6,PAN,-5.000,85.000,0.127492,-91.4286,-0.285714,step
1782157157,6,PAN,-5.000,85.000,0.176993,-97.1936,-0.303730,step
1782157157,6,PAN,-5.000,85.000,0.207921,-97.8478,-0.305775,step
1782157157,6,PAN,-5.000,85.000,0.240800,-98.0389,-0.306372,step
1782157157,6,PAN,-5.000,85.000,0.272231,-98.0009,-0.306253,step
1782157157,6,PAN,-5.000,85.000,0.304150,-97.9471,-0.306085,step
1782157157,6,PAN,-5.000,85.000,0.336728,-97.9581,-0.306119,step
1782157157,6,PAN,-5.000,85.000,0.367725,-97.9774,-0.306179,step
1782157157,6,PAN,-5.000,85.000,0.399726,-97.9702,-0.306157,step
1782157157,6,PAN,-5.000,85.000,0.432378,-97.9964,-0.306239,step
1782157157,6,PAN,-5.000,85.000,0.464380,-98.0355,-0.306361,step
1782157157,6,PAN,-5.000,85.000,0.496468,-97.9836,-0.306199,step
1782157157,6,PAN,-5.000,85.000,0.527979,-97.9805,-0.306189,step
1782157157,6,PAN,-5.000,85.000,0.575982,-97.9688,-0.306152,step
1782157157,6,PAN,-5.000,85.000,0.607891,-97.9635,-0.306136,step
1782157157,6,PAN,-5.000,85.000,0.640112,-97.9719,-0.306162,step
1782157157,6,PAN,-5.000,85.000,0.672097,-98.0103,-0.306282,step
1782157157,6,PAN,-5.000,85.000,0.704192,-97.9715,-0.306161,step
1782157157,6,PAN,-5.000,85.000,0.735723,-98.0027,-0.306258,step
1782157157,6,PAN,-5.000,85.000,0.768552,-98.0069,-0.306272,step
1782157157,6,PAN,-5.000,85.000,0.800549,-98.0376,-0.306368,step
1782157157,6,PAN,-5.000,85.000,0.832074,-97.9786,-0.306183,step
1782157157,6,PAN,-5.000,85.000,0.863628,-97.9712,-0.306160,step
1782157157,6,PAN,-5.000,85.000,0.895575,-97.9940,-0.306231,step
1782157157,6,PAN,-5.000,85.000,0.928705,-97.9725,-0.306164,step
1782157157,6,PAN,-5.000,85.000,0.975218,-97.9948,-0.306234,step
1782157157,6,PAN,-5.000,85.000,1.008864,-98.0080,-0.306275,step
1782157157,6,PAN,-5.000,85.000,1.040468,-97.9749,-0.306171,step
1782157157,6,PAN,-5.000,85.000,1.072545,-97.9491,-0.306091,step
1782157157,6,PAN,-5.000,85.000,1.103463,-97.9837,-0.306199,step
1782157157,6,PAN,-5.000,85.000,1.135878,-97.9560,-0.306113,step
1782157157,6,PAN,-5.000,85.000,1.167875,-97.9697,-0.306155,step
1782157157,6,PAN,-5.000,85.000,1.199806,-97.9436,-0.306074,step
1782157157,7,PAN,5.000,85.000,-0.299999,-97.9174,-0.305992,pre
1782157157,7,PAN,5.000,85.000,-0.266992,-97.9130,-0.305978,pre
1782157157,7,PAN,5.000,85.000,-0.236035,-97.9113,-0.305973,pre
